ogc_fid,id,codigo,nome,fonte,mean,min,max,sum,std,median
1,1.0,1.0,Mantiqueira,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,2.0,ParaÃ­ba do Sul,DAEE,0.024616126543209875,0.0,0.3330078125,49.84765625,0.058414448459254475,0.0
3,3.0,3.0,Litoral Norte,DAEE,0.1375124227031802,0.0,0.4150390625,38.916015625,0.12454211309998627,0.09765625
4,4.0,4.0,Pardo,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,5.0,Piracicaba/Capivari/JundaÃ­,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,6.0,Alto TietÃª,DAEE,0.007892098159975668,0.0,0.103515625,6.4873046875,0.01854597964801308,0.0
7,7.0,7.0,Baixada Santista,DAEE,0.022814764492753624,0.0,0.1103515625,9.4453125,0.027808190570766462,0.0078125
8,8.0,8.0,SapucaÃ­/ Grande,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,9.0,Mogi-GuaÃ§u,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,10.0,TietÃª/ Sorocaba,DAEE,0.0018317113717872086,0.0,0.0830078125,3.064453125,0.0090650174643364,0.0
11,11.0,11.0,Ribeira de Iguape e Litoral Sul,DAEE,0.013272974727478404,0.0,0.1796875,32.2666015625,0.0292316539495521,0.0
12,12.0,12.0,Baixo Pardo/ Grande,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,13.0,TietÃª/JacarÃ©,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,14.0,Alto Paranapanema,DAEE,0.0030386666537146408,0.0,0.171875,9.775390625,0.016315552472166255,0.0
15,15.0,15.0,Turvo/ Grande,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
16,16.0,16.0,TietÃª/Batalha,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
17,17.0,17.0,MÃ©dio Paranapanema,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
18,18.0,18.0,SÃ£o JosÃ© dos Dourados,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
19,19.0,19.0,Baixo TietÃª,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
20,20.0,20.0,AguapeÃ­,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
21,21.0,21.0,Peixe,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
22,22.0,22.0,Pontal do Paranapanema,DAEE,0.0,0.0,0.0,0.0,0.0,0.0
